full_name,state,party,role,cc_score,cc_score_state_mean,color,x_score
Sine Kerr,Arizona,Republican,Senator,5,48.95712204,red,5
Justin Wilmeth,Arizona,Republican,Representative,5,48.95712204,red,5
Lorenzo Sierra,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Joseph Chaplik,Arizona,Republican,Representative,0,48.95712204,red,0
Athena Salman,Arizona,Democrat,Representative,96.4,48.95712204,blue,96.4
Lisa Otondo,Arizona,Democrat,Senator,86.8,48.95712204,blue,86.8
Jennifer Jermaine,Arizona,Democrat,Representative,98,48.95712204,blue,98
David Livingston,Arizona,Republican,Senator,3.5,48.95712204,red,3.5
Shawnna Bolick,Arizona,Republican,Representative,9.4,48.95712204,red,9.4
Jennifer Pawlik,Arizona,Democrat,Representative,92.5,48.95712204,blue,92.5
Amish Shah,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Lupe Contreras,Arizona,Democrat,Senator,89.1,48.95712204,blue,89.1
Jake Hoffman,Arizona,Republican,Representative,0,48.95712204,red,0
Diego Rodriguez,Arizona,Democrat,Representative,94.1,48.95712204,blue,94.1
Becky Nutt,Arizona,Republican,Representative,10.7,48.95712204,red,10.7
David Cook,Arizona,Republican,Representative,10.6,48.95712204,red,10.6
Brenda Barton,Arizona,Republican,Representative,2.2,48.95712204,red,2.2
Frank Carroll,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Tyler Pace,Arizona,Republican,Senator,10,48.95712204,red,10
Sean Bowie,Arizona,Democrat,Senator,88.7,48.95712204,blue,88.7
Kevin Payne,Arizona,Republican,Representative,7.1,48.95712204,red,7.1
Beverly Pingerelli,Arizona,Republican,Representative,0,48.95712204,red,0
Judy Schwiebert,Arizona,Democrat,Representative,100,48.95712204,blue,100
Richard Andrade,Arizona,Democrat,Representative,96,48.95712204,blue,96
Thomas Shope,Arizona,Republican,Senator,8,48.95712204,red,8
Joanne Osborne,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Wendy Rogers,Arizona,Republican,Senator,0,48.95712204,red,0
Myron Tsosie,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Stephanie Stahl Hamilton,Arizona,Democrat,Representative,100,48.95712204,blue,100
Melody Hernandez,Arizona,Democrat,Representative,100,48.95712204,blue,100
Sonny Borrelli,Arizona,Republican,Senator,3.5,48.95712204,red,3.5
Bret Roberts,Arizona,Republican,Representative,11.3,48.95712204,red,11.3
Walter Blackman,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Juan Mendez,Arizona,Democrat,Senator,100,48.95712204,blue,100
Joel John,Arizona,Republican,Representative,10,48.95712204,red,10
Domingo Degrazia,Arizona,Democrat,Representative,98.1,48.95712204,blue,98.1
Charlene Fernandez,Arizona,Democrat,Representative,95.3,48.95712204,blue,95.3
Kelly Townsend,Arizona,Republican,Senator,8.2,48.95712204,red,8.2
Aaron Lieberman,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Tony Navarrete,Arizona,Democrat,Senator,93.8,48.95712204,blue,93.8
Regina Cobb,Arizona,Republican,Representative,7.9,48.95712204,red,7.9
Cesar Chavez,Arizona,Democrat,Representative,88.8,48.95712204,blue,88.8
John Fillmore,Arizona,Republican,Representative,11.3,48.95712204,red,11.3
Javan Mesnard,Arizona,Republican,Senator,7.3,48.95712204,red,7.3
Warren Petersen,Arizona,Republican,Senator,7.3,48.95712204,red,7.3
Robert Meza,Arizona,Democrat,Representative,84.6,48.95712204,blue,84.6
Randall Friese,Arizona,Democrat,Representative,96.9,48.95712204,blue,96.9
Christine Marsh,Arizona,Democrat,Senator,94.1,48.95712204,blue,94.1
Steve Kaiser,Arizona,Republican,Representative,5,48.95712204,red,5
Jeff Weninger,Arizona,Republican,Representative,7.1,48.95712204,red,7.1
Rebecca Rios,Arizona,Democrat,Senator,93.1,48.95712204,blue,93.1
Kirsten Engel,Arizona,Democrat,Senator,95.1,48.95712204,blue,95.1
Lela Alston,Arizona,Democrat,Senator,94.7,48.95712204,blue,94.7
John Kavanagh,Arizona,Republican,Representative,7.6,48.95712204,red,7.6
Denise Epstein,Arizona,Democrat,Representative,96.3,48.95712204,blue,96.3
Franklin Pratt,Arizona,Republican,Representative,5.3,48.95712204,red,5.3
Quang Nguyen,Arizona,Republican,Representative,5,48.95712204,red,5
Jacqueline Parker,Arizona,Republican,Representative,0,48.95712204,red,0
Gail Griffin,Arizona,Republican,Representative,8.3,48.95712204,red,8.3
Martin Quezada,Arizona,Democrat,Senator,98.1,48.95712204,blue,98.1
Raquel Teran,Arizona,Democrat,Representative,98.1,48.95712204,blue,98.1
Vince Leach,Arizona,Republican,Senator,3.5,48.95712204,red,3.5
Russell Bowers,Arizona,Republican,Representative,6.4,48.95712204,red,6.4
Victoria Steele,Arizona,Democrat,Senator,96.6,48.95712204,blue,96.6
Tim Dunn,Arizona,Republican,Representative,11.6,48.95712204,red,11.6
Sally Gonzales,Arizona,Democrat,Senator,97.2,48.95712204,blue,97.2
Kelli Butler,Arizona,Democrat,Representative,97.6,48.95712204,blue,97.6
Jennifer Longdon,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Michelle Udall,Arizona,Republican,Representative,11.8,48.95712204,red,11.8
Nancy Barto,Arizona,Republican,Senator,5.9,48.95712204,red,5.9
Rosanna Gabaldon,Arizona,Democrat,Senator,95.2,48.95712204,blue,95.2
Daniel Hernandez,Arizona,Democrat,Representative,91.2,48.95712204,blue,91.2
Ben Toma,Arizona,Republican,Representative,10.5,48.95712204,red,10.5
Jamescita Peshlakai,Arizona,Democrat,Senator,94.4,48.95712204,blue,94.4
Rick Gray,Arizona,Republican,Senator,4.9,48.95712204,red,4.9
Reginald Bolding,Arizona,Democrat,Representative,92.9,48.95712204,blue,92.9
Michelle Ugenti-Rita,Arizona,Republican,Senator,7.4,48.95712204,red,7.4
Diego Espinoza,Arizona,Democrat,Representative,90.2,48.95712204,blue,90.2
Paul Boyer,Arizona,Republican,Senator,7.7,48.95712204,red,7.7
Karen Fann,Arizona,Republican,Senator,4.4,48.95712204,red,4.4
Leo Biasiucci,Arizona,Republican,Representative,15.1,48.95712204,red,15.1
Judy Burges,Arizona,Republican,Representative,2.3,48.95712204,red,2.3
Alma Hernandez,Arizona,Democrat,Representative,90.2,48.95712204,blue,90.2
Mark Finchem,Arizona,Republican,Representative,4.7,48.95712204,red,4.7
Andrea Dalessandro,Arizona,Democrat,Representative,94.6,48.95712204,blue,94.6
David Gowan,Arizona,Republican,Senator,3.6,48.95712204,red,3.6
Travis Grantham,Arizona,Republican,Representative,8.2,48.95712204,red,8.2
Pamela Hannley,Arizona,Democrat,Representative,96.4,48.95712204,blue,96.4
Andres Cano,Arizona,Democrat,Representative,96.2,48.95712204,blue,96.2
Arlando Teller,Arizona,Democrat,Representative,93.8,48.95712204,blue,93.8
Mike Beltran,Florida,Republican,Representative,0,29.26722122,red,0
Jim Mooney,Florida,Republican,Representative,7.7,29.26722122,red,7.7
Jim Boyd,Florida,Republican,Senator,0,29.26722122,red,0
Joseph Casello,Florida,Democrat,Representative,77.8,29.26722122,blue,77.8
Ana Rodriguez,Florida,Republican,Senator,3.6,29.26722122,red,3.6
Dana Trabulsy,Florida,Republican,Representative,0,29.26722122,red,0
Shevrin Jones,Florida,Democrat,Senator,71.4,29.26722122,blue,71.4
Ben Albritton,Florida,Republican,Senator,0,29.26722122,red,0
Randy Maggard,Florida,Republican,Representative,0,29.26722122,red,0
Lawrence McClure,Florida,Republican,Representative,0,29.26722122,red,0
Anna Eskamani,Florida,Democrat,Representative,96.6,29.26722122,blue,96.6
Darryl Rouson,Florida,Democrat,Senator,73.1,29.26722122,blue,73.1
Dotie Joseph,Florida,Democrat,Representative,96.6,29.26722122,blue,96.6
Patt Maney,Florida,Republican,Representative,0,29.26722122,red,0
Joseph Geller,Florida,Democrat,Representative,69,29.26722122,blue,69
Jayer Williamson,Florida,Republican,Representative,0,29.26722122,red,0
Adam Botana,Florida,Republican,Representative,0,29.26722122,red,0
Tracie Davis,Florida,Democrat,Representative,85.7,29.26722122,blue,85.7
Debbie Mayfield,Florida,Republican,Senator,0,29.26722122,red,0
Omari Hardy,Florida,Democrat,Representative,100,29.26722122,blue,100
Traci Koster,Florida,Republican,Representative,0,29.26722122,red,0
George Gainer,Florida,Republican,Senator,30.8,29.26722122,red,30.8
Wyman Duggan,Florida,Republican,Representative,0,29.26722122,red,0
Rene Plasencia,Florida,Republican,Representative,7.4,29.26722122,red,7.4
Susan Valdes,Florida,Democrat,Representative,86.2,29.26722122,blue,86.2
Brad Drake,Florida,Republican,Representative,0,29.26722122,red,0
Marie Woodson,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Joy Goff-Marcil,Florida,Democrat,Representative,96.6,29.26722122,blue,96.6
Anika Omphroy,Florida,Democrat,Representative,70.6,29.26722122,blue,70.6
Audrey Gibson,Florida,Democrat,Senator,60.9,29.26722122,blue,60.9
Sam Killebrew,Florida,Republican,Representative,17.2,29.26722122,red,17.2
Emily Slosberg,Florida,Democrat,Representative,79.2,29.26722122,blue,79.2
Dan Daley,Florida,Democrat,Representative,61.9,29.26722122,blue,61.9
Aaron Bean,Florida,Republican,Senator,3.8,29.26722122,red,3.8
David Smith,Florida,Republican,Representative,0,29.26722122,red,0
Tina Polsky,Florida,Democrat,Senator,66.7,29.26722122,blue,66.7
Nicholas Duran,Florida,Democrat,Representative,76.2,29.26722122,blue,76.2
Christine Hunschofsky,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
David Borrero,Florida,Republican,Representative,0,29.26722122,red,0
Mike Caruso,Florida,Republican,Representative,6.9,29.26722122,red,6.9
Erin Grall,Florida,Republican,Representative,0,29.26722122,red,0
Victor Torres,Florida,Democrat,Senator,80.8,29.26722122,blue,80.8
Webster Barnaby,Florida,Republican,Representative,0,29.26722122,red,0
Amber Mariano,Florida,Republican,Representative,0,29.26722122,red,0
Chris Latvala,Florida,Republican,Representative,0,29.26722122,red,0
Sam Garrison,Florida,Republican,Representative,0,29.26722122,red,0
Christopher Benjamin,Florida,Democrat,Representative,100,29.26722122,blue,100
Patricia Hawkins-Williams,Florida,Democrat,Representative,85.2,29.26722122,blue,85.2
Randolph Bracy,Florida,Democrat,Senator,50,29.26722122,blue,50
Blaise Ingoglia,Florida,Republican,Representative,0,29.26722122,red,0
Rick Roth,Florida,Republican,Representative,0,29.26722122,red,0
Geraldine Thompson,Florida,Democrat,Representative,93.1,29.26722122,blue,93.1
Jason Brodeur,Florida,Republican,Senator,0,29.26722122,red,0
Keith Perry,Florida,Republican,Senator,0,29.26722122,red,0
Linda Chaney,Florida,Republican,Representative,0,29.26722122,red,0
Jason Fischer,Florida,Republican,Representative,0,29.26722122,red,0
Jay Trumbull,Florida,Republican,Representative,3.7,29.26722122,red,3.7
Thomas Fabricio,Florida,Republican,Representative,0,29.26722122,red,0
Felicia Simone Robinson,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Kristen Arrington,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Bryan Avila,Florida,Republican,Representative,0,29.26722122,red,0
Gary Farmer,Florida,Democrat,Senator,73.1,29.26722122,blue,73.1
Douglas Broxson,Florida,Republican,Senator,0,29.26722122,red,0
Ed Hooper,Florida,Republican,Senator,0,29.26722122,red,0
Jason Shoaf,Florida,Republican,Representative,0,29.26722122,red,0
Stan McClain,Florida,Republican,Representative,0,29.26722122,red,0
Jenna Persons-Mulicka,Florida,Republican,Representative,0,29.26722122,red,0
Ben Diamond,Florida,Democrat,Representative,86.2,29.26722122,blue,86.2
Fiona McFarland,Florida,Republican,Representative,0,29.26722122,red,0
Cord Byrd,Florida,Republican,Representative,0,29.26722122,red,0
Ramon Alexander,Florida,Democrat,Representative,93.1,29.26722122,blue,93.1
Fred Hawkins,Florida,Republican,Representative,0,29.26722122,red,0
Andrew Learned,Florida,Democrat,Representative,30.8,29.26722122,blue,30.8
Evan Jenne,Florida,Democrat,Representative,92.9,29.26722122,blue,92.9
Wilton Simpson,Florida,Republican,Senator,0,29.26722122,red,0
Ileana Garcia,Florida,Republican,Senator,0,29.26722122,red,0
Carlos Smith,Florida,Democrat,Representative,89.3,29.26722122,blue,89.3
Kelli Stargel,Florida,Republican,Senator,0,29.26722122,red,0
Clay Yarborough,Florida,Republican,Representative,0,29.26722122,red,0
Chris Sprowls,Florida,Republican,Representative,0,29.26722122,red,0
Kaylee Tuck,Florida,Republican,Representative,0,29.26722122,red,0
Kathleen Passidomo,Florida,Republican,Senator,0,29.26722122,red,0
Travis Hutson,Florida,Republican,Senator,0,29.26722122,red,0
Jackie Toledo,Florida,Republican,Representative,3.4,29.26722122,red,3.4
Cyndi Stevenson,Florida,Republican,Representative,3.8,29.26722122,red,3.8
Michele Rayner,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Jason Pizzo,Florida,Democrat,Senator,76,29.26722122,blue,76
Vance Aloupis,Florida,Republican,Representative,0,29.26722122,red,0
Spencer Roach,Florida,Republican,Representative,0,29.26722122,red,0
Linda Stewart,Florida,Democrat,Senator,50,29.26722122,blue,50
Daniel Burgess,Florida,Republican,Senator,0,29.26722122,red,0
Kelly Skidmore,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Colleen Burton,Florida,Republican,Representative,0,29.26722122,red,0
Perry Thurston,Florida,Democrat,Senator,76,29.26722122,blue,76
Scott Plakon,Florida,Republican,Representative,0,29.26722122,red,0
Bob Rommel,Florida,Republican,Representative,0,29.26722122,red,0
Chuck Brannan,Florida,Republican,Representative,0,29.26722122,red,0
Michael Gottlieb,Florida,Democrat,Representative,85.7,29.26722122,blue,85.7
Robin Bartleman,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Anthony Sabatini,Florida,Republican,Representative,0,29.26722122,red,0
Elizabeth Fetterhoff,Florida,Republican,Representative,0,29.26722122,red,0
Daisy Morales,Florida,Democrat,Representative,76.9,29.26722122,blue,76.9
Melony Bell,Florida,Republican,Representative,0,29.26722122,red,0
Brett Hage,Florida,Republican,Representative,0,29.26722122,red,0
John Snyder,Florida,Republican,Representative,0,29.26722122,red,0
Yvonne Hayes Hinson,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Tom Leek,Florida,Republican,Representative,0,29.26722122,red,0
Allison Tant,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
James Bush,Florida,Democrat,Representative,53.8,29.26722122,blue,53.8
Angela Nixon,Florida,Democrat,Representative,100,29.26722122,blue,100
Keith Truenow,Florida,Republican,Representative,0,29.26722122,red,0
Jeffrey Brandes,Florida,Republican,Senator,11.5,29.26722122,red,11.5
Thad Altman,Florida,Republican,Representative,0,29.26722122,red,0
Alejandro Rizo,Florida,Republican,Representative,0,29.26722122,red,0
Tyler Sirois,Florida,Republican,Representative,0,29.26722122,red,0
Paul Renner,Florida,Republican,Representative,0,29.26722122,red,0
Demi Busatta Cabrera,Florida,Republican,Representative,0,29.26722122,red,0
Juan Fernandez-Barquin,Florida,Republican,Representative,0,29.26722122,red,0
Michael Grant,Florida,Republican,Representative,0,29.26722122,red,0
Janet Cruz,Florida,Democrat,Senator,76.9,29.26722122,blue,76.9
Tommy Gregory,Florida,Republican,Representative,0,29.26722122,red,0
Joe Gruters,Florida,Republican,Senator,0,29.26722122,red,0
Kevin Chambliss,Florida,Democrat,Representative,76.9,29.26722122,blue,76.9
Josie Tomkow,Florida,Republican,Representative,0,29.26722122,red,0
Dennis Baxley,Florida,Republican,Senator,0,29.26722122,red,0
Randy Fine,Florida,Republican,Representative,0,29.26722122,red,0
Fentrice Driskell,Florida,Democrat,Representative,96.2,29.26722122,blue,96.2
Chip LaMarca,Florida,Republican,Representative,0,29.26722122,red,0
Daniel Perez,Florida,Republican,Representative,0,29.26722122,red,0
Loranne Ausley,Florida,Democrat,Senator,82.1,29.26722122,blue,82.1
Bobby Powell,Florida,Democrat,Senator,56.5,29.26722122,blue,56.5
Chuck Clemons,Florida,Republican,Representative,0,29.26722122,red,0
Lauren Melo,Florida,Republican,Representative,0,29.26722122,red,0
Matt Willhite,Florida,Democrat,Representative,64.3,29.26722122,blue,64.3
Nick DiCeglie,Florida,Republican,Representative,0,29.26722122,red,0
Toby Overdorf,Florida,Republican,Representative,0,29.26722122,red,0
Mike Giallombardo,Florida,Republican,Representative,0,29.26722122,red,0
Michelle Salzman,Florida,Republican,Representative,0,29.26722122,red,0
James Buchanan,Florida,Republican,Representative,0,29.26722122,red,0
Alex Andrade,Florida,Republican,Representative,0,29.26722122,red,0
Travaris McCurdy,Florida,Democrat,Representative,92.3,29.26722122,blue,92.3
Bobby Payne,Florida,Republican,Representative,0,29.26722122,red,0
Kamia Brown,Florida,Democrat,Representative,79.3,29.26722122,blue,79.3
Dianne Hart,Florida,Democrat,Representative,89.7,29.26722122,blue,89.7
Gayle Harrell,Florida,Republican,Senator,0,29.26722122,red,0
Annette Taddeo,Florida,Democrat,Senator,62.5,29.26722122,blue,62.5
Tommy Wright,Florida,Republican,Senator,0,29.26722122,red,0
Will Robinson,Florida,Republican,Representative,0,29.26722122,red,0
Anthony Rodriguez,Florida,Republican,Representative,0,29.26722122,red,0
Manny Diaz,Florida,Republican,Senator,0,29.26722122,red,0
Jennifer Bradley,Florida,Republican,Senator,0,29.26722122,red,0
Ardian Zika,Florida,Republican,Representative,0,29.26722122,red,0
Michael Grieco,Florida,Democrat,Representative,42.3,29.26722122,blue,42.3
Lori Berman,Florida,Democrat,Senator,80.8,29.26722122,blue,80.8
Joe Harding,Florida,Republican,Representative,0,29.26722122,red,0
David Silvers,Florida,Democrat,Representative,69,29.26722122,blue,69
Bobby Dubose,Florida,Democrat,Representative,86.2,29.26722122,blue,86.2
Ralph Massullo,Florida,Republican,Representative,0,29.26722122,red,0
Lauren Book,Florida,Democrat,Senator,36,29.26722122,blue,36
Ray Rodrigues,Florida,Republican,Senator,0,29.26722122,red,0
Alex Valdez,Colorado,Democrat,Representative,100,68.68655322,blue,100
Donald Valdez,Colorado,Democrat,Representative,96.5,68.68655322,blue,96.5
Dominick Moreno,Colorado,Democrat,Senator,96.3,68.68655322,blue,96.3
Marc Snyder,Colorado,Democrat,Representative,100,68.68655322,blue,100
Paul Lundeen,Colorado,Republican,Senator,7.6,68.68655322,red,7.6
Cathy Kipp,Colorado,Democrat,Representative,100,68.68655322,blue,100
Terri Carver,Colorado,Republican,Representative,19.1,68.68655322,red,19.1
Rod Pelton,Colorado,Republican,Representative,14.3,68.68655322,red,14.3
Jennifer Bacon,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Steven Woodrow,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
John Cooke,Colorado,Republican,Senator,23.3,68.68655322,red,23.3
Serena Gonzales-Gutierrez,Colorado,Democrat,Representative,100,68.68655322,blue,100
Shane Sandridge,Colorado,Republican,Representative,0,68.68655322,red,0
Rob Woodward,Colorado,Republican,Senator,5,68.68655322,red,5
Robert Rodriguez,Colorado,Democrat,Senator,100,68.68655322,blue,100
Leslie Herod,Colorado,Democrat,Representative,100,68.68655322,blue,100
Colin Larson,Colorado,Republican,Representative,4.8,68.68655322,red,4.8
Tracey Bernett,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Sonya Jaquez Lewis,Colorado,Democrat,Senator,100,68.68655322,blue,100
Kerry Donovan,Colorado,Democrat,Senator,93.3,68.68655322,blue,93.3
Perry Will,Colorado,Republican,Representative,20,68.68655322,red,20
Matt Soper,Colorado,Republican,Representative,5.6,68.68655322,red,5.6
Brianna Titone,Colorado,Democrat,Representative,90.5,68.68655322,blue,90.5
Thomas Exum,Colorado,Democrat,Representative,100,68.68655322,blue,100
Susan Lontine,Colorado,Democrat,Representative,100,68.68655322,blue,100
Kevin Van Winkle,Colorado,Republican,Representative,9.7,68.68655322,red,9.7
Jeff Bridges,Colorado,Democrat,Senator,100,68.68655322,blue,100
Faith Winter,Colorado,Democrat,Senator,100,68.68655322,blue,100
Stephanie Luck,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Andres Pico,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Bob Gardner,Colorado,Republican,Senator,20.9,68.68655322,red,20.9
Adrienne Benavidez,Colorado,Democrat,Representative,100,68.68655322,blue,100
Rod Bockenfeld,Colorado,Republican,Representative,9.5,68.68655322,red,9.5
Cleave Simpson,Colorado,Republican,Senator,N/A,68.68655322,grey,120
Barbara Kirkmeyer,Colorado,Republican,Senator,N/A,68.68655322,grey,120
Chris Hansen,Colorado,Democrat,Senator,100,68.68655322,blue,100
Barbara McLachlan,Colorado,Democrat,Representative,100,68.68655322,blue,100
Chris Holbert,Colorado,Republican,Senator,16.7,68.68655322,red,16.7
Robert Rankin,Colorado,Republican,Senator,25.4,68.68655322,red,25.4
Patrick Neville,Colorado,Republican,Representative,5.9,68.68655322,red,5.9
Leroy Garcia,Colorado,Democrat,Senator,95,68.68655322,blue,95
Meg Froelich,Colorado,Democrat,Representative,100,68.68655322,blue,100
Naquetta Ricks,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Tim Geitner,Colorado,Republican,Representative,0,68.68655322,red,0
Michael Lynch,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Edith Hooton,Colorado,Democrat,Representative,100,68.68655322,blue,100
Monica Duran,Colorado,Democrat,Representative,100,68.68655322,blue,100
Mark Baisley,Colorado,Republican,Representative,0,68.68655322,red,0
Tonya Van Beber,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Yadira Caraveo,Colorado,Democrat,Representative,100,68.68655322,blue,100
Jerry Sonnenberg,Colorado,Republican,Senator,22.4,68.68655322,red,22.4
Ron Hanks,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Rachel Zenzinger,Colorado,Democrat,Senator,100,68.68655322,blue,100
Jessie Danielson,Colorado,Democrat,Senator,98.5,68.68655322,blue,98.5
Jim Smallwood,Colorado,Republican,Senator,14,68.68655322,red,14
Karen McCormick,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Chris Kennedy,Colorado,Democrat,Representative,100,68.68655322,blue,100
Kim Ransom,Colorado,Republican,Representative,6.1,68.68655322,red,6.1
Dylan Roberts,Colorado,Democrat,Representative,100,68.68655322,blue,100
Kevin Priola,Colorado,Republican,Senator,62,68.68655322,red,62
Dafna Michaelson Jenet,Colorado,Democrat,Representative,100,68.68655322,blue,100
Donald Coram,Colorado,Republican,Senator,53.7,68.68655322,red,53.7
David Ortiz,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Stephen Fenberg,Colorado,Democrat,Senator,100,68.68655322,blue,100
Joann Ginal,Colorado,Democrat,Senator,100,68.68655322,blue,100
Alec Garnett,Colorado,Democrat,Representative,100,68.68655322,blue,100
Iman Jodeh,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Lisa Cutter,Colorado,Democrat,Representative,100,68.68655322,blue,100
Dan Woog,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Shannon Bird,Colorado,Democrat,Representative,100,68.68655322,blue,100
Chris Kolker,Colorado,Democrat,Senator,N/A,68.68655322,grey,120
Mary Young,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Marc Catlin,Colorado,Republican,Representative,28.1,68.68655322,red,28.1
Dennis Hisey,Colorado,Republican,Senator,10,68.68655322,red,10
James Coleman,Colorado,Democrat,Senator,100,68.68655322,blue,100
Dave Williams,Colorado,Republican,Representative,1.9,68.68655322,red,1.9
Richard Holtorf,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Kerry Tipper,Colorado,Democrat,Representative,100,68.68655322,blue,100
Daneya Esgar,Colorado,Democrat,Representative,91.2,68.68655322,blue,91.2
Tammy Story,Colorado,Democrat,Senator,100,68.68655322,blue,100
Matt Gray,Colorado,Democrat,Representative,100,68.68655322,blue,100
Kyle Mullica,Colorado,Democrat,Representative,100,68.68655322,blue,100
Mary Bradfield,Colorado,Republican,Representative,N/A,68.68655322,grey,120
Emily Sirota,Colorado,Democrat,Representative,100,68.68655322,blue,100
Brittany Pettersen,Colorado,Democrat,Senator,100,68.68655322,blue,100
Ray Scott,Colorado,Republican,Senator,31.7,68.68655322,red,31.7
Hugh McKean,Colorado,Republican,Representative,17.9,68.68655322,red,17.9
Judith Amabile,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Pete Lee,Colorado,Democrat,Senator,100,68.68655322,blue,100
Rhonda Fields,Colorado,Democrat,Senator,98.1,68.68655322,blue,98.1
Larry Liston,Colorado,Republican,Senator,12.5,68.68655322,red,12.5
Janet Buckner,Colorado,Democrat,Senator,100,68.68655322,blue,100
Julie McCluskie,Colorado,Democrat,Representative,100,68.68655322,blue,100
Lindsey Daugherty,Colorado,Democrat,Representative,N/A,68.68655322,grey,120
Janice Rich,Colorado,Republican,Representative,19,68.68655322,red,19
Michael Weissman,Colorado,Democrat,Representative,100,68.68655322,blue,100
Jennifer Arndt,Colorado,Democrat,Representative,100,68.68655322,blue,100
Tom Sullivan,Colorado,Democrat,Representative,100,68.68655322,blue,100
Dominique Jackson,Colorado,Democrat,Representative,100,68.68655322,blue,100
Julie Gonzales,Colorado,Democrat,Senator,100,68.68655322,blue,100
Brian Meyer,Iowa,Democrat,Representative,70.6,37.46321135,blue,70.6
Charlie McConkey,Iowa,Democrat,Representative,70.6,37.46321135,blue,70.6
Sarah Trone Garriott,Iowa,Democrat,Senator,100,37.46321135,blue,100
Thomas Gerhold,Iowa,Republican,Representative,0,37.46321135,red,0
Janet Petersen,Iowa,Democrat,Senator,81,37.46321135,blue,81
Dennis Bush,Iowa,Republican,Representative,0,37.46321135,red,0
Gary Worthan,Iowa,Republican,Representative,35.3,37.46321135,red,35.3
William Dotzler,Iowa,Democrat,Senator,81,37.46321135,blue,81
Sandy Salmon,Iowa,Republican,Representative,20,37.46321135,red,20
Joe Mitchell,Iowa,Republican,Representative,0,37.46321135,red,0
Marti Anderson,Iowa,Democrat,Representative,76.5,37.46321135,blue,76.5
Bobby Kaufmann,Iowa,Republican,Representative,35.3,37.46321135,red,35.3
Todd Taylor,Iowa,Democrat,Senator,84.2,37.46321135,blue,84.2
Jesse Green,Iowa,Republican,Senator,0,37.46321135,red,0
Gary Mohr,Iowa,Republican,Representative,0,37.46321135,red,0
Jeff Edler,Iowa,Republican,Senator,0,37.46321135,red,0
David Sieck,Iowa,Republican,Representative,35.3,37.46321135,red,35.3
Shannon Latham,Iowa,Republican,Representative,0,37.46321135,red,0
Dennis Cohoon,Iowa,Democrat,Representative,56.2,37.46321135,blue,56.2
Ross Paustian,Iowa,Republican,Representative,35.3,37.46321135,red,35.3
Anne Osmundson,Iowa,Republican,Representative,0,37.46321135,red,0
Jo Oldson,Iowa,Democrat,Representative,75,37.46321135,blue,75
Chad Ingels,Iowa,Republican,Representative,0,37.46321135,red,0
Terry Baxter,Iowa,Republican,Representative,35.3,37.46321135,red,35.3
Bob Kressig,Iowa,Democrat,Representative,66.7,37.46321135,blue,66.7
Jeff Reichman,Iowa,Republican,Senator,0,37.46321135,red,0
Skyler Wheeler,Iowa,Republican,Representative,0,37.46321135,red,0
John Forbes,Iowa,Democrat,Representative,58.8,37.46321135,blue,58.8
David Maxwell,Iowa,Republican,Representative,37.5,37.46321135,red,37.5
Holly Brink,Iowa,Republican,Representative,0,37.46321135,red,0
David Kerr,Iowa,Republican,Representative,0,37.46321135,red,0
Christina Bohannan,Iowa,Democrat,Representative,100,37.46321135,blue,100
Jeff Shipley,Iowa,Republican,Representative,33.3,37.46321135,red,33.3
Kenan Judge,Iowa,Democrat,Representative,44.4,37.46321135,blue,44.4
Norlin Mommsen,Iowa,Republican,Representative,35.3,37.46321135,red,35.3
Dave Deyoe,Iowa,Republican,Representative,37.5,37.46321135,red,37.5
Amanda Ragan,Iowa,Democrat,Senator,81,37.46321135,blue,81
